O3,a,b,c,date,timestamp

35.0,36.7,948.5,740,11/08/18,02:59:45
34.4,36.7,948.5,746,11/08/18,02:59:55
34.2,36.7,948.5,740,11/08/18,03:00:05
33.9,36.7,948.5,741,11/08/18,03:00:15
34.7,36.7,948.5,746,11/08/18,03:00:25
35.9,36.7,948.1,768,11/08/18,03:00:35
35.1,36.7,948.4,749,11/08/18,03:00:45
34.1,36.7,948.4,740,11/08/18,03:00:55
34.9,36.7,948.3,760,11/08/18,03:01:05
34.4,36.8,948.2,774,11/08/18,03:01:15
34.1,36.8,948.5,749,11/08/18,03:01:25
34.5,36.8,948.5,744,11/08/18,03:01:35
33.3,36.8,948.5,737,11/08/18,03:01:45
32.3,36.8,948.6,741,11/08/18,03:01:55
33.2,36.8,948.5,745,11/08/18,03:02:05
34.1,36.8,948.6,743,11/08/18,03:02:15
34.6,36.8,948.5,743,11/08/18,03:02:25
33.1,36.8,948.6,739,11/08/18,03:02:35
30.3,36.8,948.5,743,11/08/18,03:02:45
32.6,36.8,948.5,740,11/08/18,03:02:55
34.8,36.8,948.6,745,11/08/18,03:03:05
33.6,36.8,948.7,737,11/08/18,03:03:15
33.0,36.8,948.5,743,11/08/18,03:03:25
34.3,36.8,948.6,747,11/08/18,03:03:35
35.9,36.8,948.5,742,11/08/18,03:03:45
35.0,36.8,948.5,739,11/08/18,03:03:55
33.5,36.8,948.5,731,11/08/18,03:04:05
33.7,36.8,948.5,743,11/08/18,03:04:15
33.5,36.8,948.5,735,11/08/18,03:04:25
32.9,36.8,948.5,741,11/08/18,03:04:35
33.9,36.8,948.5,743,11/08/18,03:04:45
34.9,36.8,948.5,734,11/08/18,03:04:55
34.3,36.8,948.5,739,11/08/18,03:05:05
34.2,36.8,948.5,739,11/08/18,03:05:15
33.9,36.8,948.5,736,11/08/18,03:05:25
33.7,36.8,948.5,740,11/08/18,03:05:35
34.4,36.8,948.4,741,11/08/18,03:05:45
35.3,36.8,948.5,740,11/08/18,03:05:55
35.9,36.8,948.5,735,11/08/18,03:06:05
35.1,36.8,948.0,777,11/08/18,03:06:15
35.1,36.8,948.2,758,11/08/18,03:06:25
35.9,36.8,948.4,744,11/08/18,03:06:35
37.2,36.8,948.5,745,11/08/18,03:06:45
37.3,36.8,948.5,743,11/08/18,03:06:55
34.5,36.8,948.5,742,11/08/18,03:07:05
33.8,36.8,948.5,747,11/08/18,03:07:15
33.9,36.8,948.5,737,11/08/18,03:07:25
34.0,36.8,948.5,738,11/08/18,03:07:35
34.6,36.8,948.5,741,11/08/18,03:07:45
33.9,36.8,948.5,743,11/08/18,03:07:55
32.8,36.8,948.5,739,11/08/18,03:08:05
34.0,36.8,948.5,740,11/08/18,03:08:15
34.8,36.8,948.5,740,11/08/18,03:08:25
35.2,36.8,948.5,743,11/08/18,03:08:35
36.4,36.8,948.5,740,11/08/18,03:08:45
36.9,36.8,948.5,745,11/08/18,03:08:55
36.1,36.8,948.5,743,11/08/18,03:09:05
33.4,36.8,948.5,737,11/08/18,03:09:15
34.0,36.8,948.5,744,11/08/18,03:09:25
35.5,36.8,948.5,737,11/08/18,03:09:35
35.2,36.8,948.4,746,11/08/18,03:09:45
35.2,36.8,948.1,763,11/08/18,03:09:55
33.9,36.8,948.4,738,11/08/18,03:10:05
33.9,36.8,948.5,737,11/08/18,03:10:15
34.5,36.8,948.4,739,11/08/18,03:10:25
33.8,36.8,948.5,742,11/08/18,03:10:35
33.8,36.8,948.4,741,11/08/18,03:10:45
33.3,36.8,948.4,740,11/08/18,03:10:55
33.4,36.8,948.5,732,11/08/18,03:11:05
33.7,36.8,948.4,744,11/08/18,03:11:15
33.4,36.8,948.4,741,11/08/18,03:11:25
33.0,36.8,948.5,744,11/08/18,03:11:35
33.1,36.8,948.5,742,11/08/18,03:11:45
34.3,36.8,948.5,737,11/08/18,03:11:55
34.4,36.8,948.5,735,11/08/18,03:12:05
34.5,36.8,948.5,736,11/08/18,03:12:15
34.1,36.8,948.5,744,11/08/18,03:12:25
32.3,36.8,948.5,740,11/08/18,03:12:35
31.4,36.8,948.4,745,11/08/18,03:12:45
33.4,36.8,948.0,762,11/08/18,03:12:55
35.1,36.8,948.4,741,11/08/18,03:13:05
34.3,36.8,948.5,743,11/08/18,03:13:15
34.1,36.8,948.5,745,11/08/18,03:13:25
33.8,36.8,948.5,742,11/08/18,03:13:35
34.3,36.8,948.5,740,11/08/18,03:13:45
32.4,36.8,948.5,743,11/08/18,03:13:55
31.2,36.8,948.6,744,11/08/18,03:14:05
34.8,36.8,948.5,744,11/08/18,03:14:15
35.6,36.8,948.5,739,11/08/18,03:14:25
34.6,36.8,948.6,739,11/08/18,03:14:35
35.2,36.8,948.6,743,11/08/18,03:14:45
36.2,36.8,948.6,744,11/08/18,03:14:55
35.2,36.8,948.2,755,11/08/18,03:15:05
34.4,36.8,948.3,766,11/08/18,03:15:15
33.1,36.8,948.5,739,11/08/18,03:15:25
34.5,36.8,948.6,742,11/08/18,03:15:35
35.8,36.8,948.6,735,11/08/18,03:15:45
34.4,36.8,948.6,739,11/08/18,03:15:55
34.6,36.8,948.6,740,11/08/18,03:16:05
34.2,36.8,948.7,738,11/08/18,03:16:15
34.4,36.8,948.7,743,11/08/18,03:16:25
34.9,36.8,948.6,741,11/08/18,03:16:35
35.8,36.8,948.7,747,11/08/18,03:16:45
35.5,36.8,948.7,740,11/08/18,03:16:55
35.3,36.8,948.7,743,11/08/18,03:17:05
35.3,36.8,948.6,743,11/08/18,03:17:15
34.3,36.8,948.7,745,11/08/18,03:17:25
34.6,36.8,948.7,744,11/08/18,03:17:35
35.7,36.8,948.7,739,11/08/18,03:17:45
36.7,36.8,948.7,736,11/08/18,03:17:55
36.2,36.8,948.7,736,11/08/18,03:18:05
35.0,36.8,948.7,736,11/08/18,03:18:15
35.7,36.8,948.7,744,11/08/18,03:18:25
36.0,36.8,948.7,736,11/08/18,03:18:35
35.4,36.8,948.7,737,11/08/18,03:18:45
36.1,36.8,948.7,741,11/08/18,03:18:55
36.6,36.8,948.6,738,11/08/18,03:19:05
35.5,36.8,948.6,732,11/08/18,03:19:15
34.2,36.8,948.7,736,11/08/18,03:19:25
33.0,36.8,948.7,737,11/08/18,03:19:35
32.9,36.8,948.7,738,11/08/18,03:19:45
34.6,36.8,948.7,735,11/08/18,03:19:55
35.9,36.8,948.8,743,11/08/18,03:20:05
36.0,36.8,948.7,736,11/08/18,03:20:15
33.6,36.8,948.7,743,11/08/18,03:20:25
34.2,36.8,948.7,733,11/08/18,03:20:35
35.7,36.8,948.7,734,11/08/18,03:20:45
33.8,36.8,948.7,746,11/08/18,03:20:55
33.6,36.8,948.7,737,11/08/18,03:21:05
34.2,36.8,948.7,740,11/08/18,03:21:15
33.8,36.8,948.7,737,11/08/18,03:21:25
34.1,36.8,948.7,735,11/08/18,03:21:35
33.8,36.8,948.7,736,11/08/18,03:21:45
32.8,36.8,948.7,741,11/08/18,03:21:55
32.8,36.8,948.7,739,11/08/18,03:22:05
32.9,36.8,948.7,738,11/08/18,03:22:15
33.9,36.8,948.7,744,11/08/18,03:22:25
34.0,36.8,948.6,737,11/08/18,03:22:35
33.2,36.8,948.7,737,11/08/18,03:22:45
33.1,36.8,948.6,734,11/08/18,03:22:55
32.3,36.8,948.7,742,11/08/18,03:23:05
33.3,36.8,948.6,731,11/08/18,03:23:15
33.3,36.8,948.6,736,11/08/18,03:23:25
32.6,36.8,948.7,736,11/08/18,03:23:35
32.1,36.8,948.7,740,11/08/18,03:23:45
32.6,36.8,948.7,738,11/08/18,03:23:55
33.9,36.8,948.7,738,11/08/18,03:24:05
33.5,36.8,948.7,741,11/08/18,03:24:15
34.5,36.8,948.7,734,11/08/18,03:24:25
36.3,36.8,948.7,737,11/08/18,03:24:35
35.1,36.8,948.7,739,11/08/18,03:24:45
34.2,36.8,948.7,739,11/08/18,03:24:55
35.7,36.8,948.6,746,11/08/18,03:25:05
35.0,36.8,948.2,764,11/08/18,03:25:15
34.1,36.8,948.5,744,11/08/18,03:25:25
34.4,36.8,948.7,734,11/08/18,03:25:35
33.9,36.8,948.7,747,11/08/18,03:25:45
34.4,36.8,948.3,770,11/08/18,03:25:55
35.5,36.8,948.5,751,11/08/18,03:26:05
35.4,36.8,948.7,742,11/08/18,03:26:15
36.0,36.8,948.6,735,11/08/18,03:26:25
35.5,36.8,948.6,748,11/08/18,03:26:35
34.1,36.8,948.6,747,11/08/18,03:26:45
36.5,36.8,948.5,737,11/08/18,03:26:55
37.8,36.8,948.6,741,11/08/18,03:27:05
35.8,36.8,948.6,736,11/08/18,03:27:15
34.0,36.8,948.5,740,11/08/18,03:27:25
33.9,36.8,948.5,745,11/08/18,03:27:35
35.9,36.8,948.6,742,11/08/18,03:27:45
35.5,36.9,948.6,739,11/08/18,03:27:55
35.0,36.8,948.6,735,11/08/18,03:28:05
36.1,36.8,948.6,741,11/08/18,03:28:15
35.6,36.9,948.5,735,11/08/18,03:28:25
35.6,36.9,948.6,739,11/08/18,03:28:35
35.2,36.9,948.7,744,11/08/18,03:28:45
33.7,36.9,948.6,733,11/08/18,03:28:55
32.3,36.8,948.6,744,11/08/18,03:29:05
33.5,36.9,948.6,736,11/08/18,03:29:15
34.9,36.9,948.6,738,11/08/18,03:29:25
33.5,36.9,948.6,746,11/08/18,03:29:35
33.4,36.9,948.6,744,11/08/18,03:29:45
